StartRegion,DestRegion,Drive
Hecountry,Rpcountry,0.0
Hhcountry,Rpcountry,0.0
Mvcountry,Rpcountry,0.0
Nicountry,Rpcountry,0.0
Nwcountry,Rpcountry,0.0
Rpcountry,Rpcountry,0.0
Shcountry,Rpcountry,0.0
Slcountry,Rpcountry,0.0
Sncountry,Rpcountry,0.0
Stcountry,Rpcountry,0.0
Thcountry,Rpcountry,0.0
Bbcity,Rpcountry,0.0
Becity,Rpcountry,0.0
Bwcity,Rpcountry,0.0
Bycity,Rpcountry,0.0
Hbcity,Rpcountry,0.0
Hecity,Rpcountry,0.0
Hhcity,Rpcountry,0.0
Mvcity,Rpcountry,0.0
Nicity,Rpcountry,0.0
Nwcity,Rpcountry,0.0
Rpcity,Rpcountry,0.0
Shcity,Rpcountry,0.0
Slcity,Rpcountry,0.0
Sncity,Rpcountry,0.0
Stcity,Rpcountry,0.0
Thcity,Rpcountry,0.0
Bbcountry,Shcountry,0.0
Becountry,Shcountry,0.0
Bwcountry,Shcountry,0.0
Bycountry,Shcountry,0.0
Hbcountry,Shcountry,0.0
Hecountry,Shcountry,0.0
Hhcountry,Shcountry,0.0
Mvcountry,Shcountry,0.0
Nicountry,Shcountry,0.0
Nwcountry,Shcountry,0.0
Rpcountry,Shcountry,0.0
Shcountry,Shcountry,0.0
Slcountry,Shcountry,0.0
Sncountry,Shcountry,0.0
Stcountry,Shcountry,0.0
Thcountry,Shcountry,0.0
Bbcity,Shcountry,0.0
Becity,Shcountry,0.0
